汉字	max综合类型	max综合正字	min综合类型	min综合正字
竅	0	竅	0	竅
竆	1	窮	1	窮
竇	0	竇	0	竇
竈	2	竈&灶	1	灶
竉	0	竉	0	竉
竊	0	竊	0	竊
立	0	立	0	立
竌	0	竌	0	竌
竎	0	竎	0	竎
竐	1	䇍	1	䇍
竑	0	竑	0	竑
竒	1	奇	1	奇
竖	1	豎	3	
竗	1	妙	1	妙
竘	0	竘	0	竘
站	0	站	0	站
竚	2	竚&佇	1	佇
竛	0	竛	0	竛
竜	2	竜&龍	1	龍
竝	1	並	1	並
竞	3	競&竟	1	競
竟	0	竟	0	竟
章	0	章	0	章
竢	1	俟	1	俟
竣	0	竣	0	竣
竤	2	竑&竤	1	竑
童	0	童	0	童
竦	0	竦	0	竦
竧	0	竧	0	竧
竨	0	竨	0	竨
竩	1	誼	1	誼
竪	2	竪&豎	1	豎
竫	0	竫	0	竫
竬	0	竬	0	竬
竭	0	竭	0	竭
竮	0	竮	0	竮
端	0	端	0	端
竱	0	竱	0	竱
竲	0	竲	0	竲
竳	0	竳	0	竳
竴	0	竴	0	竴
竵	0	竵	0	竵
競	0	競	0	競
竷	0	竷	0	竷
竸	1	競	1	競
竹	0	竹	0	竹
竺	2	竺&篤	0	竺
竻	2	筋&竻	2	筋&竻
竼	3	篷&𦪪	3	篷&𦪪
竽	0	竽	0	竽
竾	2	竾&篪	1	篪
竿	0	竿	0	竿
笀	2	芒&笀	2	芒&笀
笁	2	竺&篤&笁	1	竺
笂	1	芄	3	
笃	1	篤	1	篤
笄	0	笄	0	笄
笅	2	笅&筊	1	筊
笆	0	笆	0	笆
笇	2	笇&算	0	笇
笈	0	笈	0	笈
笉	0	笉	0	笉
笊	0	笊	0	笊
笋	1	筍	1	筍
笌	0	笌	0	笌
笍	0	笍	0	笍
笎	0	笎	0	笎
笏	0	笏	0	笏
笐	2	笐&𥮕	0	笐
笑	0	笑	0	笑
笒	2	笒&筨	2	笒&筨
笓	2	笓&篦	0	笓
笔	1	筆	1	筆
笕	1	筧	1	筧
笖	0	笖	0	笖
笗	0	笗	0	笗
笘	0	笘	0	笘
笙	0	笙	0	笙
笚	2	笝&笚&筪	2	笝&笚&筪
笛	0	笛	0	笛
笜	0	笜	0	笜
笝	0	笝	0	笝
笞	0	笞	0	笞
笟	3	笊&箍	1	箍
笠	0	笠	0	笠
笡	0	笡	0	笡
笢	0	笢	0	笢
笣	0	笣	0	笣
笤	0	笤	0	笤
笥	0	笥	0	笥
符	0	符	0	符
笧	3	𥬰&冊	1	冊
笨	0	笨	0	笨
笩	2	茷&笩	2	茷&笩
笪	0	笪	0	笪
笫	0	笫	0	笫
第	0	第	0	第
笭	0	笭	0	笭
笮	0	笮	0	笮
笯	0	笯	0	笯
笰	0	笰	0	笰
笱	0	笱	0	笱
笲	0	笲	0	笲
笳	0	笳	0	笳
笴	0	笴	0	笴
笵	0	笵	0	笵
笶	2	笶&矢	1	矢
笸	0	笸	0	笸
笺	1	箋	1	箋
笻	1	筇	3	
笼	1	籠	1	籠
笾	1	籩	3	
笿	0	笿	0	笿
筀	0	筀	0	筀
筁	1	䒼	1	䒼
筂	1	篪	1	篪
筃	2	茵&筃	2	茵&筃
筄	0	筄	0	筄
筅	0	筅	0	筅
筆	0	筆	0	筆
筇	0	筇	3	
筈	2	栝&筈	0	筈
等	0	等	0	等
筊	2	珓&筊	0	筊
筋	0	筋	0	筋
筌	0	筌	0	筌
筍	0	筍	0	筍
筎	0	筎	0	筎
筏	0	筏	0	筏
筐	0	筐	0	筐
筑	2	築&筑	0	筑
筒	0	筒	0	筒
筓	1	笄	1	笄
答	0	答	0	答
筕	0	筕	0	筕
策	0	策	0	策
筗	0	筗	0	筗
筘	0	筘	0	筘
筙	1	箂	3	
筚	1	篳	3	
筛	1	篩	1	篩
筜	1	簹	3	
筝	1	箏	1	箏
筞	1	策	1	策
筟	0	筟	0	筟
筠	0	筠	0	筠
筡	0	筡	0	筡
筢	0	筢	0	筢
筣	2	籬&筣	2	籬&筣
筤	0	筤	0	筤
筥	0	筥	0	筥
筦	2	管&筦	0	筦
筧	0	筧	0	筧
筨	0	筨	0	筨
筩	0	筩	0	筩
筪	2	匣&筪	2	匣&筪
筫	2	質&筫	1	質
筬	0	筬	0	筬
筭	2	算&筭	0	筭
筮	0	筮	0	筮
筯	1	箸	1	箸
筰	0	筰	0	筰
筱	0	筱	0	筱
筲	0	筲	0	筲
筳	0	筳	0	筳
筴	2	策&筴	0	筴
筵	0	筵	0	筵
筶	0	筶	0	筶
筷	0	筷	0	筷
筸	2	簳&筸	2	簳&筸
筹	1	籌	1	籌
筺	1	筐	3	
筼	1	篔	3	
签	3	簽&籤	3	簽&籤
筿	1	篠	3	
简	1	簡	1	簡
箁	2	箁&䈬	0	箁
箂	0	箂	0	箂
箃	0	箃	0	箃
箄	2	箄&𣝁	0	箄
箅	0	箅	0	箅
箆	1	篦	1	篦
箇	2	個&箇	2	個&箇
箈	0	箈	0	箈
箉	0	箉	0	箉
箊	0	箊	0	箊
箋	0	箋	0	箋
箌	2	罩&箌&𠟅	2	罩&箌&𠟅
箍	0	箍	0	箍
箎	2	箎&篪	2	箎&篪
箏	0	箏	0	箏
箐	0	箐	0	箐
箑	0	箑	0	箑
箒	1	帚	1	帚
箓	3	簏&籙	1	簏
箔	0	箔	0	箔
箕	0	箕	0	箕
箖	0	箖	0	箖
算	0	算	0	算
箘	2	菌&箘	0	箘
箙	0	箙	0	箙
箚	1	劄	3	
箛	0	箛	0	箛
箜	0	箜	0	箜
箝	0	箝	0	箝
箞	0	箞	0	箞
箟	1	箘	1	箘
箠	0	箠	0	箠
管	0	管	0	管
箢	0	箢	0	箢
箣	2	箣&策	1	策
箤	0	箤	0	箤
箥	1	笸	1	笸
箦	1	簀	3	
箧	1	篋	1	篋
箨	1	籜	3	
箩	1	籮	1	籮
箪	1	簞	1	簞
箫	1	簫	1	簫
箬	0	箬	0	箬
箭	0	箭	0	箭
箮	0	箮	0	箮
箯	0	箯	0	箯
箰	2	筍&箰	1	筍
箱	0	箱	0	箱
箲	1	筅	1	筅
箳	0	箳	0	箳
箴	0	箴	0	箴
箵	0	箵	0	箵
箶	0	箶	0	箶
箷	2	椸&箷	2	椸&箷
箸	0	箸	0	箸
箹	0	箹	0	箹
箺	0	箺	0	箺
箻	1	𥭐	1	𥭐
箼	0	箼	0	箼
箽	2	箽&𥳘	2	箽&𥳘
箾	0	箾	0	箾
箿	0	箿	0	箿
節	0	節	0	節
篁	0	篁	0	篁
篂	0	篂	0	篂
篃	0	篃	0	篃
範	0	範	0	範
篅	0	篅	0	篅
篆	0	篆	0	篆
篇	0	篇	0	篇
篈	0	篈	0	篈
築	0	築	0	築
篊	0	篊	0	篊
篋	0	篋	0	篋
篌	0	篌	0	篌
篍	0	篍	0	篍
篎	0	篎	0	篎
篏	1	嵌	3	
篐	1	箍	3	
篑	1	簣	1	簣
篒	1	饐	3	
篓	1	簍	1	簍
篔	0	篔	0	篔
篕	0	篕	0	篕
篖	0	篖	0	篖
篗	2	籆&籰&篗	1	籆
篘	0	篘	0	篘
篙	0	篙	0	篙
篚	2	匪&篚	2	匪&篚
篛	2	篛&箬	2	篛&箬
篜	0	篜	0	篜
篝	0	篝	0	篝
篞	0	篞	0	篞
篟	0	篟	0	篟
篠	2	筱&篠	0	篠
篡	0	篡	0	篡
篢	0	篢	0	篢
篣	0	篣	0	篣
篤	0	篤	0	篤
篥	0	篥	0	篥
篦	0	篦	0	篦
篧	0	篧	0	篧
篨	0	篨	0	篨
篩	0	篩	0	篩
篪	0	篪	0	篪
篫	0	篫	0	篫
篬	0	篬	0	篬
篭	1	籠	1	籠
篮	1	籃	1	籃
篯	1	籛	3	
篰	0	篰	0	篰
篱	2	籬&篱	1	籬
篲	2	彗&篲	2	彗&篲
篳	0	篳	0	篳
篴	2	笛&篴	0	篴
篵	0	篵	0	篵
篶	0	篶	0	篶
篷	0	篷	0	篷
篸	0	篸	0	篸
篹	0	篹	0	篹
篺	0	篺	0	篺
篻	0	篻	0	篻
篼	0	篼	0	篼
篽	0	篽	0	篽
篾	0	篾	0	篾
篿	0	篿	0	篿
簀	0	簀	0	簀
簁	0	簁	0	簁
簂	2	幗&簂	0	簂
簃	0	簃	0	簃
簄	0	簄	0	簄
簅	0	簅	0	簅
簆	0	簆	0	簆
簇	0	簇	0	簇
簈	1	箳	1	箳
簉	0	簉	0	簉
簊	0	簊	0	簊
簋	0	簋	0	簋
簌	0	簌	0	簌
簍	0	簍	0	簍
簎	0	簎	0	簎
簏	0	簏	0	簏
簐	0	簐	0	簐
簑	2	簑&蓑	1	蓑
簒	1	篡	1	篡
簔	1	蓑	3	
簕	0	簕	0	簕
簖	1	籪	1	籪
簗	1	築	3	
簘	1	簫	1	簫
簙	0	簙	0	簙
簚	3	幦&幭	1	幭
簛	1	簁	1	簁
簜	2	蕩&簜	2	蕩&簜
簝	0	簝	0	簝
簞	0	簞	0	簞
簟	0	簟	0	簟
簠	0	簠	0	簠
簡	0	簡	0	簡
簢	0	簢	0	簢
簣	0	簣	0	簣
簤	1	䈆	1	䈆
簥	0	簥	0	簥
簦	0	簦	0	簦
簧	0	簧	0	簧
簨	0	簨	0	簨
簩	0	簩	0	簩
簪	0	簪	0	簪
簫	0	簫	0	簫
簬	0	簬	0	簬
簭	2	筮&簭	0	簭
簮	1	簪	1	簪
簰	0	簰	0	簰
簳	2	笴&簳	0	簳
簴	1	虡	1	虡
簵	1	簬	1	簬
簶	0	簶	0	簶
簷	2	簷&檐	0	簷
簸	0	簸	0	簸
簹	0	簹	0	簹
簺	0	簺	0	簺
簻	0	簻	0	簻
簼	2	篝&簼	1	篝
簽	2	簽&籤	0	簽
簾	0	簾	0	簾
簿	0	簿	0	簿
籀	0	籀	0	籀
籁	1	籟	1	籟
籃	0	籃	0	籃
籄	1	簣	1	簣
籅	0	籅	0	籅
籆	0	籆	0	籆
籇	2	篙&籇	1	篙
籈	0	籈	0	籈
籉	0	籉	0	籉
籊	0	籊	0	籊
籋	2	籋&䉲	0	籋
籌	0	籌	0	籌
籍	0	籍	0	籍
籐	0	籐	0	籐
籑	2	籑&撰&饌	3	撰&饌
籒	1	籀	1	籀
籓	0	籓	0	籓
籔	0	籔	0	籔
籕	3	抽&籀	1	抽
籖	1	籤	1	籤
籗	2	籱&篧&籗	2	篧&籗
籘	1	籐	1	籐
籙	0	籙	0	籙
籚	2	櫨&籚	2	櫨&籚
籛	0	籛	0	籛
籜	0	籜	0	籜
籝	1	籯	1	籯
籞	2	篽&籞	0	籞
籟	0	籟	0	籟
籠	0	籠	0	籠
籢	2	籢&奩	0	籢
籣	0	籣	0	籣
籤	0	籤	0	籤
籥	0	籥	0	籥
籦	0	籦	0	籦
籧	0	籧	0	籧
籨	1	籢	3	
籩	0	籩	0	籩
籪	0	籪	0	籪
籫	0	籫	0	籫
籬	0	籬	0	籬
籭	2	籭&簁	1	簁
籮	0	籮	0	籮
籯	0	籯	0	籯
籰	2	籆&籰	2	籆&籰
籱	2	籱&罩&篧	3	罩&篧
籲	0	籲	0	籲
米	0	米	0	米
籴	1	糴	1	糴
籵	1	蹯	3	
籶	1	籸	1	籸
籷	2	籷&䊞	2	籷&䊞
籸	0	籸	0	籸
籹	2	妝&籹	0	籹
籺	2	籺&麧	2	籺&麧
类	1	類	1	類
籼	1	秈	1	秈
籽	0	籽	0	籽
籿	0	籿	0	籿
粀	0	粀	0	粀
粁	0	粁	0	粁
粂	1	齋	3	
粃	3	紕&秕	3	紕&秕
粄	2	飯&粄	0	粄
粅	0	粅	0	粅
粆	0	粆	0	粆
粇	1	糠	1	糠
粈	2	糅&粈	2	糅&粈
粉	0	粉	0	粉
粊	0	粊	0	粊
粋	1	粹	1	粹
粌	0	粌	0	粌
粍	0	粍	0	粍
粑	0	粑	0	粑
粒	0	粒	0	粒
粓	1	泔	1	泔
粔	0	粔	0	粔
粕	0	粕	0	粕
粖	0	粖	0	粖
粗	0	粗	0	粗
粘	2	黏&粘	2	黏&粘
粙	1	䅢	1	䅢
粚	2	粚&黐	1	黐
粛	1	肅	1	肅
粜	1	糶	1	糶
粝	1	糲	1	糲
粞	0	粞	0	粞
粟	0	粟	0	粟
粠	1	䉺	1	䉺
粡	0	粡	0	粡
粢	2	粢&餈	0	粢
粣	0	粣	0	粣
粤	0	粤	0	粤
粥	2	粥&鬻	0	粥
粦	1	燐	1	燐
粧	1	妝	1	妝
粨	0	粨	0	粨
粪	1	糞	3	
粫	1	糯	3	
粬	1	麯	3	
粮	1	糧	1	糧
粯	0	粯	0	粯
粰	2	稃&粰	0	粰
粱	0	粱	0	粱
粲	0	粲	0	粲
粳	0	粳	0	粳
粴	0	粴	0	粴
粵	1	粤	1	粤
粶	0	粶	0	粶
粷	0	粷	0	粷
粸	0	粸	0	粸
粹	0	粹	0	粹
粺	0	粺	0	粺
粻	0	粻	0	粻
粼	0	粼	0	粼
粽	0	粽	0	粽
精	0	精	0	精
粿	0	粿	0	粿
糁	1	糝	3	
糂	1	糝	1	糝
糃	2	餳&糃	2	餳&糃
糄	0	糄	0	糄
糅	0	糅	0	糅
糆	3	麵&𥻩	3	麵&𥻩
糇	1	餱	1	餱
糈	0	糈	0	糈
糉	1	粽	1	粽
糊	0	糊	0	糊
糋	0	糋	0	糋
糌	0	糌	0	糌
糍	2	糍&餈	1	餈
糏	0	糏	0	糏
糐	2	糐&𥼼	2	糐&𥼼
糑	0	糑	0	糑
糒	0	糒	0	糒
糓	2	糓&穀	1	穀
糔	0	糔	0	糔
糕	0	糕	0	糕
糖	0	糖	0	糖
糗	0	糗	0	糗
糙	0	糙	0	糙
糚	1	妝	1	妝
糛	1	糖	1	糖
糜	0	糜	0	糜
糝	0	糝	0	糝
糞	0	糞	0	糞
糟	0	糟	0	糟
糠	0	糠	0	糠
糡	1	糨	1	糨
糢	0	糢	0	糢
糣	2	糣&糝	1	糝
糤	1	饊	1	饊
糥	1	糯	1	糯
糦	1	饎	1	饎
糧	0	糧	0	糧
糨	0	糨	0	糨
糩	1	𥢶	1	𥢶
糪	0	糪	0	糪
糫	0	糫	0	糫
糬	0	糬	0	糬
糭	1	粽	3	
糮	0	糮	0	糮
糯	0	糯	0	糯
糰	0	糰	0	糰
糱	0	糱	0	糱
糲	0	糲	0	糲
糳	1	𥽿	1	𥽿
糴	0	糴	0	糴
糵	2	糵&糱	1	糱
糶	0	糶	0	糶
糷	0	糷	0	糷
糸	2	糸&絲	2	糸&絲
糹	0	糹	3	
糺	2	糺&糾	1	糾
系	2	係&系&繫	2	系&繫
糼	3	功&幼	1	功
糽	0	糽	0	糽
糾	0	糾	0	糾
糿	3	功&幼	1	幼
紀	0	紀	0	紀
紁	2	衩&紁	0	紁
紂	0	紂	0	紂
紃	0	紃	0	紃
約	0	約	0	約
紅	0	紅	0	紅
紆	0	紆	0	紆
紇	0	紇	0	紇
紈	0	紈	0	紈
紉	0	紉	0	紉
紊	0	紊	0	紊
紋	0	紋	0	紋
紌	0	紌	0	紌
納	0	納	0	納
紎	2	緇&紎	0	紎
紏	2	糾&黈&斢&紏	2	糾&黈&斢&紏
紐	0	紐	0	紐
紑	0	紑	0	紑
紒	2	結&紒	2	結&紒
紓	0	紓	0	紓
純	0	純	0	純
紕	0	紕	0	紕
紖	0	紖	0	紖
紗	0	紗	0	紗
紘	0	紘	0	紘
紙	0	紙	0	紙
級	0	級	0	級
紛	0	紛	0	紛
紜	0	紜	0	紜
紝	0	紝	0	紝
紞	0	紞	0	紞
紟	0	紟	0	紟
素	0	素	0	素
紡	0	紡	0	紡
索	0	索	0	索
紣	1	綷	3	
紤	0	紤	0	紤
紥	1	紮	1	紮
紦	1	紀	1	紀
紧	1	緊	1	緊
紨	0	紨	0	紨
紩	0	紩	0	紩
紪	1	緀	1	緀
紫	0	紫	0	紫
紬	2	紬&𦂈	0	紬
紭	1	紘	1	紘
紮	0	紮	0	紮
累	2	累&纍	2	累&纍
細	0	細	0	細
紱	0	紱	0	紱
紲	0	紲	0	紲
紳	0	紳	0	紳
紴	2	䋔&紴	2	䋔&紴
紵	0	紵	0	紵
紶	0	紶	0	紶
紷	0	紷	0	紷
紸	0	紸	0	紸
紹	0	紹	0	紹
紺	0	紺	0	紺
紻	0	紻	0	紻
紼	0	紼	0	紼
紽	0	紽	0	紽
紾	0	紾	0	紾
紿	0	紿	0	紿
絀	2	絀&黜	0	絀
絁	2	絕&絁	0	絁
終	0	終	0	終
絃	0	絃	0	絃
組	0	組	0	組
絅	0	絅	0	絅
絆	0	絆	0	絆
絇	0	絇	0	絇
絈	3	帞&帕	1	帕
絉	0	絉	0	絉
絊	0	絊	0	絊
絋	3	紘&纊	1	紘
経	1	經	1	經
絍	2	絍&紝	1	紝
絎	0	絎	0	絎
絏	0	絏	0	絏
結	0	結	0	結
絑	2	朱&絑	2	朱&絑
絒	0	絒	0	絒
絓	0	絓	0	絓
絔	2	帕&絔	2	帕&絔
絕	0	絕	0	絕
絖	2	絖&纊	0	絖
絗	0	絗	0	絗
絘	0	絘	0	絘
絙	2	緪&絙	0	絙
絚	3	緪&絙	1	緪
絛	0	絛	0	絛
絜	0	絜	0	絜
絝	2	絝&褲	1	褲
絞	0	絞	0	絞
絟	0	絟	0	絟
絠	0	絠	0	絠
絡	0	絡	0	絡
絢	0	絢	0	絢
絣	0	絣	0	絣
絤	1	線	1	線
絥	0	絥	0	絥
給	0	給	0	給
絧	0	絧	0	絧
絨	0	絨	0	絨
絩	0	絩	0	絩
絪	0	絪	0	絪
絫	2	累&縲&絫&纍	2	累&縲&絫&纍
絬	2	褻&絬	2	褻&絬
絭	0	絭	0	絭
絮	0	絮	0	絮
絯	0	絯	0	絯
絰	0	絰	0	絰
統	0	統	0	統
絲	0	絲	0	絲
絳	0	絳	0	絳
絴	0	絴	0	絴
絵	1	繪	1	繪
絶	1	絕	1	絕
絷	1	縶	1	縶
絸	2	絸&繭	1	繭
絹	0	絹	0	絹
絺	0	絺	0	絺
絻	2	冕&絻	0	絻
絼	2	紖&絼	1	紖
絽	0	絽	0	絽
絾	0	絾	0	絾
絿	0	絿	0	絿
綀	0	綀	0	綀
綁	0	綁	0	綁
綂	1	統	1	統
綃	0	綃	0	綃
綄	0	綄	0	綄
綅	0	綅	0	綅
綆	0	綆	0	綆
綇	2	綇&䋶	1	䋶
綈	0	綈	0	綈
綉	1	繡	1	繡
綊	0	綊	0	綊
綋	1	紘	1	紘
綌	0	綌	0	綌
綍	2	紼&綍	0	綍
綎	0	綎	0	綎
綏	0	綏	0	綏
綐	0	綐	0	綐
綑	0	綑	0	綑
綒	0	綒	0	綒
經	0	經	0	經
綔	0	綔	0	綔
綕	1	織	1	織
綖	0	綖	0	綖
綗	3	絅&𦀝	1	𦀝
綘	1	縫	1	縫
継	1	繼	1	繼
続	1	續	3	
綜	0	綜	0	綜
綝	0	綝	0	綝
綞	0	綞	0	綞
綟	0	綟	0	綟
綠	0	綠	0	綠
綡	0	綡	0	綡
綢	0	綢	0	綢
綣	0	綣	0	綣
綤	2	綤&紹	1	紹
綥	2	綦&綥	0	綥
綦	0	綦	0	綦
綧	0	綧	0	綧
綨	2	綨&綦	1	綦
綩	0	綩	0	綩
綪	0	綪	0	綪
綫	2	綫&線	1	線
綬	0	綬	0	綬
維	0	維	0	維
綮	0	綮	0	綮
綯	0	綯	0	綯
綰	0	綰	0	綰
綱	0	綱	0	綱
網	2	網&网	0	網
綳	1	繃	1	繃
綴	0	綴	0	綴
綵	0	綵	0	綵
綶	2	縲&裹&綶	2	裹&綶
綷	0	綷	0	綷
綸	0	綸	0	綸
綹	0	綹	0	綹
綺	0	綺	0	綺
綻	0	綻	0	綻
綼	0	綼	0	綼
綽	0	綽	0	綽
綾	0	綾	0	綾
綿	0	綿	0	綿
緀	0	緀	0	緀
緁	0	緁	0	緁
緂	2	緂&𦃖	2	緂&𦃖
緃	0	緃	0	緃
緄	0	緄	0	緄
緅	0	緅	0	緅
緆	0	緆	0	緆
緇	0	緇	0	緇
緈	0	緈	0	緈
緉	0	緉	0	緉
緊	0	緊	0	緊
緋	0	緋	0	緋
緌	0	緌	0	緌
緍	1	緡	1	緡
緎	0	緎	0	緎
総	2	總&総	2	總&総
緐	1	繁	3	
緑	1	綠	1	綠
緒	0	緒	0	緒
緓	0	緓	3	
緔	0	緔	3	
緖	1	緒	1	緒
緗	0	緗	0	緗
緘	0	緘	0	緘
緙	0	緙	0	緙
線	0	線	0	線
緛	0	緛	0	緛
緜	1	綿	1	綿
緝	0	緝	0	緝
緞	2	緞&𩏇	0	緞
緟	0	緟	0	緟
締	0	締	0	締
緡	0	緡	0	緡
緢	0	緢	0	緢
緣	0	緣	0	緣
緤	2	緤&紲	1	紲
緥	1	褓	1	褓
緦	0	緦	0	緦
緧	0	緧	0	緧
編	0	編	0	編
緩	0	緩	0	緩
緪	0	緪	0	緪
緫	3	總&𦇎	1	總
緬	0	緬	0	緬
緭	0	緭	0	緭
緮	2	𦂊&緮	0	緮
緯	0	緯	0	緯
緰	2	緰&繻	0	緰
緱	0	緱	0	緱
緲	0	緲	0	緲
緳	0	緳	0	緳
練	2	練&鍊	0	練
緵	0	緵	0	緵
緶	0	緶	0	緶
緷	0	緷	0	緷
緸	2	絪&緸	0	緸
緹	0	緹	0	緹
緺	0	緺	0	緺
緻	0	緻	0	緻
緼	1	縕	1	縕
緽	3	䞓&赬	1	赬
緾	1	纏	1	纏
緿	1	紿	1	紿
縀	3	緞&䪗&𩏇	3	緞&䪗&𩏇
縁	1	緣	1	緣
縂	1	總	1	總
縃	2	胥&縃	0	縃
縄	1	繩	1	繩
縆	1	緪	1	緪
縈	0	縈	0	縈
縉	0	縉	0	縉
縊	0	縊	0	縊
縋	0	縋	0	縋
縌	0	縌	0	縌
縍	2	幫&縍	0	縍
縎	0	縎	0	縎
縏	0	縏	0	縏
縐	0	縐	0	縐
縑	0	縑	0	縑
縒	0	縒	0	縒
縓	0	縓	0	縓
縔	0	縔	0	縔
縕	0	縕	0	縕
縖	0	縖	0	縖
縗	0	縗	0	縗
縘	1	繫	1	繫
縙	0	縙	0	縙
縚	2	絛&縚	0	縚
縛	0	縛	0	縛
縜	0	縜	0	縜
縝	0	縝	0	縝
縞	0	縞	0	縞
縟	0	縟	0	縟
縠	0	縠	0	縠
縡	2	縡&繒	0	縡
縢	0	縢	0	縢
縣	0	縣	0	縣
縤	0	縤	0	縤
縥	0	縥	0	縥
縦	1	縱	1	縱
縧	2	縧&絛	1	絛
縩	2	縩&䌨	0	縩
縪	0	縪	0	縪
縫	0	縫	0	縫
縬	2	戚&縬	0	縬
縭	0	縭	0	縭
縮	0	縮	0	縮
縯	0	縯	0	縯
縰	2	縰&纚	0	縰
縱	0	縱	0	縱
縲	0	縲	0	縲
縳	0	縳	0	縳
縴	0	縴	0	縴
縵	0	縵	0	縵
縶	0	縶	0	縶
縷	0	縷	0	縷
縸	0	縸	0	縸
縹	0	縹	0	縹
縺	0	縺	0	縺
縻	0	縻	0	縻
縼	0	縼	0	縼
總	0	總	0	總
績	0	績	0	績
縿	2	繅&縿	2	繅&縿
繀	0	繀	0	繀
繁	0	繁	0	繁
繂	0	繂	0	繂
繃	0	繃	0	繃
繄	0	繄	0	繄
繅	0	繅	0	繅
繆	0	繆	0	繆
繇	0	繇	0	繇
繈	0	繈	0	繈
繉	0	繉	0	繉
繊	1	纖	3	
繋	1	繫	3	
繌	1	緵	3	
繍	1	繡	1	繡
繎	0	繎	0	繎
繏	1	𦇗	1	𦇗
繐	0	繐	0	繐
繑	0	繑	0	繑
繒	0	繒	0	繒
繓	0	繓	0	繓
織	0	織	0	織
繕	0	繕	0	繕
繖	2	傘&繖	0	繖
繗	0	繗	0	繗
繘	0	繘	0	繘
繙	0	繙	0	繙
繚	0	繚	0	繚
繛	2	繛&綽	1	綽
繜	0	繜	0	繜
繝	0	繝	0	繝
繞	0	繞	0	繞
繟	0	繟	0	繟
繠	2	蕊&繠	2	蕊&繠
繡	0	繡	0	繡
繢	2	緇&繢	0	繢
繣	0	繣	0	繣
繤	1	纂	1	纂
繥	2	嬉&繥	0	繥
繦	1	繈	1	繈
繨	0	繨	0	繨
繩	0	繩	0	繩
繪	0	繪	0	繪
繫	0	繫	0	繫
繬	0	繬	0	繬
繭	0	繭	0	繭
繮	1	韁	1	韁
繯	0	繯	0	繯
繰	2	繅&繰	0	繰
繱	1	𦇎	1	𦇎
繲	0	繲	0	繲
繳	0	繳	0	繳
繴	0	繴	0	繴
繵	2	纏&繵	0	繵
繶	0	繶	0	繶
繷	0	繷	0	繷
繸	0	繸	0	繸
繹	0	繹	0	繹
繺	0	繺	0	繺
繻	0	繻	0	繻
繼	0	繼	0	繼
繽	0	繽	0	繽
繾	0	繾	0	繾
繿	1	襤	1	襤
纀	0	纀	0	纀
纁	0	纁	0	纁
纂	0	纂	0	纂
纃	0	纃	3	
纄	1	鑝	1	鑝
纅	0	纅	0	纅
纆	0	纆	0	纆
纇	0	纇	0	纇
纈	0	纈	0	纈
纉	1	纘	1	纘
纊	0	纊	0	纊
纋	0	纋	0	纋
續	0	續	0	續
纍	0	纍	0	纍
纎	1	纖	1	纖
纏	0	纏	0	纏
纐	1	絞	3	
纑	0	纑	0	纑
纒	1	纏	1	纏
纓	0	纓	0	纓
纔	0	纔	0	纔
纕	0	纕	0	纕
纖	0	纖	0	纖
纗	0	纗	0	纗
纘	0	纘	0	纘
纙	0	纙	0	纙
纚	0	纚	0	纚
纛	0	纛	0	纛
纜	0	纜	0	纜
纝	1	縲	1	縲
纞	0	纞	0	纞
纟	1	糹	3	
纠	1	糾	1	糾
纡	1	紆	3	
红	1	紅	1	紅
纣	1	紂	1	紂
纤	3	纖&縴	3	纖&縴
纥	1	紇	1	紇
约	1	約	1	約
级	1	級	1	級
纨	1	紈	1	紈
纩	1	纊	1	纊
纪	1	紀	1	紀
纫	1	紉	1	紉
纬	1	緯	1	緯
纭	1	紜	1	紜
纮	1	紘	3	
纯	1	純	1	純
纰	1	紕	3	
纱	1	紗	1	紗
纲	1	綱	1	綱
纳	1	納	1	納
纴	1	紝	1	紝
纵	1	縱	1	縱
纶	1	綸	1	綸
纷	1	紛	1	紛
纸	1	紙	1	紙
纹	1	紋	1	紋
纺	1	紡	1	紡
纻	1	紵	3	
纼	1	紖	1	紖
纽	1	紐	3	
纾	1	紓	1	紓
线	1	線	1	線
绀	1	紺	1	紺
绁	3	紲&絏	1	紲
绂	1	紱	1	紱
练	1	練	3	
组	1	組	1	組
绅	1	紳	1	紳
细	1	細	1	細
织	1	織	1	織
终	1	終	1	終
绉	1	縐	1	縐
绊	1	絆	1	絆
绋	1	紼	1	紼
绌	1	絀	1	絀
绍	1	紹	1	紹
绎	1	繹	1	繹
经	1	經	1	經
绐	1	紿	3	
绑	1	綁	3	
绒	1	絨	1	絨
结	1	結	1	結
绔	3	絝&褲	1	褲
绕	1	繞	1	繞
绖	1	絰	1	絰
绗	1	絎	1	絎
绘	1	繪	1	繪
给	1	給	1	給
绚	1	絢	1	絢
绛	1	絳	1	絳
络	1	絡	1	絡
绝	1	絕	1	絕
绞	1	絞	1	絞
统	1	統	1	統
绠	1	綆	1	綆
绡	1	綃	3	
绢	1	絹	1	絹
绣	1	繡	1	繡
绤	1	綌	3	
绥	1	綏	1	綏
绦	3	縧&絛	1	絛
继	1	繼	1	繼
绨	1	綈	1	綈
绩	1	績	1	績
绪	1	緒	1	緒
绫	1	綾	1	綾
绬	1	緓	3	
续	1	續	1	續
绮	1	綺	1	綺
绯	1	緋	1	緋
绰	1	綽	1	綽
绱	1	緔	3	
绲	1	緄	3	
绳	1	繩	1	繩
维	1	維	1	維
绵	1	綿	1	綿
绶	1	綬	1	綬
绷	1	繃	1	繃
