汉字	max综合类型	max综合正字	min综合类型	min综合正字
𦡀	1	膝	1	膝
𦡁	1	𦗴	1	𦗴
𦡂	2	𦡦&腫&𦡂	2	腫&𦡂
𦡃	0	𦡃	0	𦡃
𦡅	0	𦡅	0	𦡅
𦡆	0	𦡆	0	𦡆
𦡇	2	𦡇&䐾	1	䐾
𦡈	1	癰	1	癰
𦡌	0	𦡌	0	𦡌
𦡍	1	臂	1	臂
𦡗	1	𢣊	1	𢣊
𦡘	1	腄	1	腄
𦡚	1	臃	1	臃
𦡛	1	膹	1	膹
𦡜	1	臂	1	臂
𦡝	1	皧	3	
𦡦	0	𦡦	3	
𦡧	0	𦡧	3	
𦡨	0	𦡨	0	𦡨
𦡩	1	膝	1	膝
𦡪	0	𦡪	0	𦡪
𦡫	2	𦡫&曦	1	曦
𦡬	1	黐	1	黐
𦡭	1	𦡌	1	𦡌
𦡰	2	膊&𦡰	1	膊
𦡱	2	臞&𦡱	2	臞&𦡱
𦡲	0	𦡲	0	𦡲
𦡳	1	臘	3	
𦡴	2	疛&𦡴	2	疛&𦡴
𦡵	0	𦡵	0	𦡵
𦡶	1	膁	1	膁
𦡷	0	𦡷	0	𦡷
𦡸	1	膩	1	膩
𦡹	0	𦡹	0	𦡹
𦡺	1	癭	1	癭
𦡻	0	𦡻	0	𦡻
𦡼	0	𦡼	0	𦡼
𦡽	2	䐵&𦡽	2	䐵&𦡽
𦢅	1	螣	1	螣
𦢇	1	𦡼	3	
𦢈	0	𦢈	0	𦢈
𦢊	2	㿺&𦢊	0	𦢊
𦢋	1	𦣍	3	
𦢌	1	殰	1	殰
𦢍	1	𦠄	1	𦠄
𦢎	0	𦢎	0	𦢎
𦢏	0	𦢏	0	𦢏
𦢐	0	𦢐	0	𦢐
𦢑	1	𦟠	1	𦟠
𦢒	1	膹	3	
𦢕	1	膌	1	膌
𦢖	1	膺	1	膺
𦢙	1	䑎	1	䑎
𦢚	1	膚	1	膚
𦢛	3	臚&𨇖	1	𨇖
𦢜	1	臐	1	臐
𦢝	1	瘦	1	瘦
𦢣	1	繭	3	
𦢤	1	臢	3	
𦢥	1	臇	1	臇
𦢦	1	酥	1	酥
𦢧	0	𦢧	0	𦢧
𦢨	2	燅&𦢨	1	燅
𦢩	2	䐹&𦢩	2	䐹&𦢩
𦢪	3	膸&髓	1	膸
𦢫	2	朧&𦢫	0	𦢫
𦢭	1	𦠖	1	𦠖
𦢮	1	髖	1	髖
𦢯	3	𤴾&脪	3	𤴾&脪
𦢰	1	臖	3	
𦢸	2	𦢸&膊	1	膊
𦢹	3	羹&𦣍	1	𦣍
