[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.051s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.071s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.064s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.092s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.140s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.091s]
[2025-10-05 06:05:15]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:15]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:15]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.083s]
[2025-10-05 06:05:15]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:15]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:15]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.067s]
[2025-10-05 06:05:15]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:15]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:15]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.136s]
[2025-10-05 06:05:15]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.107s]
[2025-10-05 06:05:15]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:15]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:15]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.171s]
[2025-10-05 06:05:15]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.032s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.128s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.080s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.097s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.102s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.055s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:16]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:17]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.117s]
[2025-10-05 06:05:17]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:17]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:17]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.097s]
[2025-10-05 06:05:17]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:17]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:17]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.081s]
[2025-10-05 06:05:17]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:17]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:17]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.091s]
[2025-10-05 06:05:17]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:17]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:17]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.228s]
[2025-10-05 06:05:18]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.158s]
[2025-10-05 06:05:18]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:18]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:18]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.096s]
[2025-10-05 06:05:18]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:18]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:18]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.163s]
[2025-10-05 06:05:18]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:18]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:18]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.067s]
[2025-10-05 06:05:18]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:18]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:18]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.109s]
[2025-10-05 06:05:18]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:18]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:19]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.201s]
[2025-10-05 06:05:19]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:19]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:19]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.312s]
[2025-10-05 06:05:19]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:19]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:19]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.202s]
[2025-10-05 06:05:19]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:19]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:20]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.247s]
[2025-10-05 06:05:20]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:20]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:20]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.171s]
[2025-10-05 06:05:20]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:20]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:20]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.099s]
[2025-10-05 06:05:20]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:20]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:20]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.194s]
[2025-10-05 06:05:20]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:20]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:21]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.128s]
[2025-10-05 06:05:21]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:21]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:21]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.078s]
[2025-10-05 06:05:21]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:21]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:21]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.202s]
[2025-10-05 06:05:21]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:21]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:21]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.066s]
[2025-10-05 06:05:21]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.133s]
[2025-10-05 06:05:21]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:21]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:22]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.060s]
[2025-10-05 06:05:22]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:22]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:22]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.215s]
[2025-10-05 06:05:22]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:22]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:22]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.386s]
[2025-10-05 06:05:22]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:22]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:22]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.167s]
[2025-10-05 06:05:23]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:23]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:23]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.154s]
[2025-10-05 06:05:23]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.220s]
[2025-10-05 06:05:23]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:23]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:23]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.100s]
[2025-10-05 06:05:23]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:23]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:23]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.108s]
[2025-10-05 06:05:23]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:23]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:24]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.381s]
[2025-10-05 06:05:24]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:24]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
