[2025-10-04 04:03:02]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.258s]
[2025-10-04 04:03:02]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:02]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:02]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:02]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:03]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.485s]
[2025-10-04 04:03:03]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.003s]
[2025-10-04 04:03:03]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:03]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:03]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:03]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.747s]
[2025-10-04 04:03:03]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:03]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:03]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:03]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:04]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.333s]
[2025-10-04 04:03:04]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:04]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:04]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:04]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:04]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.282s]
[2025-10-04 04:03:04]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:04]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:04]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:04]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:05]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.455s]
[2025-10-04 04:03:05]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:05]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:05]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:05]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:05]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.337s]
[2025-10-04 04:03:05]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:05]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:05]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:05]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:06]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.449s]
[2025-10-04 04:03:06]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:06]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:06]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:06]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:06]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.307s]
[2025-10-04 04:03:06]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:06]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:06]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:06]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:07]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.712s]
[2025-10-04 04:03:07]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:07]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:07]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:07]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:08]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.637s]
[2025-10-04 04:03:08]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
