vol_page,page_names,page_name,end_page_name,reel_code,src,should_delete,remark,word_txt
第113册／第365页,JS_113_729#JS_113_730,JS_113_729,,JS_1622_50,據《明藏跋》補,,保留第五十卷刊记,吴江居士周祈施资刻此《大明三藏法数》第五十卷。恩江沙弥可震对，长洲徐普书，进贤洪以仁刻。万曆甲午仲秋径山兴圣万寿禅寺识。
第119册／第113页,JS_119_225#JS_119_226,JS_119_226,,JS_1644_19,国图径山藏,,,康熙九年重刊。
第119册／第114页,JS_119_227#JS_119_228,JS_119_227,,JS_1644_19,国图径山藏,,,康熙九年重刊。
第125册／第197页,JS_125_393#JS_125_394,JS_125_394,JS_125_395,JS_1668_7,国图径山藏,,,信士戴世祯舍资七两四钱五分七厘刻此
第125册／第198页,JS_125_395#JS_125_396,JS_125_395,,JS_1668_7,国图径山藏,1,应与上一条合并,《华严玄谈》第六卷上。伏愿皈正法幢，断疑见网，读诵《法华》之种习，知摄末以归本，乐助《华严》之胜因，获达本以逢源，法界有情，同入性海，亲冤平等，均沾利乐。
第125册／第593页,JS_125_1185#JS_125_1186,JS_125_1186,JS_125_1187,JS_1668_16,国图径山藏,,,佛弟子姚性莲、唐性澄同舍资并领袖银七两
第125册／第594页,JS_125_1187#JS_125_1188,JS_125_1187,,JS_1668_16,国图径山藏,1,应与上一条合并,三钱四分三厘刻此一卷。领缘弟子唐诗法名性澄，助缘比丘性宏，信官鉏庆登同室人唐氏，信士陈国瑞、姚士昙同女海慧、江上帆，信女尤氏、任氏、吴氏、又吴氏、徐氏，信童锺维枞，共五两二钱。俱唐诗自助并募，余不能募足，听主缘者另补。信士屠观二钱，屠兑四钱，屠福征二钱，屠弘胤二钱，叶盈崶一两，信童张元鼎一钱，以上自行募足。伏愿檀越二十人，同证普贤之正定，咸增福智之洪源，随其所愿，悉令如意。
第126册／第455页,JS_126_909#JS_126_910,JS_126_910,JS_126_911,JS_1668_26,国图径山藏,,,仁和信士张鸿举舍资五两一钱七分五厘
第126册／第456页,JS_126_911#JS_126_912,JS_126_911,,JS_1668_26,国图径山藏,1,应与上一条合并,刻此一卷，伏愿先光禄景星公，速证菩提，家孺人周氏，暨举家眷属，时增如意之福。
第126册／第632页,JS_126_1263#JS_126_1264,JS_126_1264,JS_126_1265,JS_1668_30,国图径山藏,,,信官曹谷同室吴氏捐资拾壹两刻此《十无尽蔵品》，伏愿
第126册／第633页,JS_126_1265#JS_126_1266,JS_126_1265,,JS_1668_30,国图径山藏,1,应与上一条合并,先父曹大田、先母王氏，早闻妙法，超生莲界。
第128册／第312页,JS_128_623#JS_128_624,JS_128_624,JS_128_625,JS_1668_51,国图径山藏,,,仁和信士张又良捐资叁两捌钱贰分刻此
第128册／第313页,JS_128_625#JS_128_626,JS_128_625,,JS_1668_51,国图径山藏,1,应与上一条合并,一卷，伏愿祖考张大政，祖妣俞氏、徐氏，先考张绎思，先妣卓氏，继母吴氏，入法界而处处受生，悟菩提而尘尘解脱，现存获福，绵亘无疆。
第129册／第31页,JS_129_61#JS_129_62,JS_129_62,JS_129_63,JS_1668_65,国图径山藏,,,信士常叙钦领袖此卷，舍银一两，祈先祖及先父母早证法界。
