page,issue_type,obj_id,detail
HN_5_4_253,CHAR_MISSING_COLUMN,b1c359c31,expected column b1c359
HN_5_4_253,CHAR_MISSING_COLUMN,b1c359c32,expected column b1c359
HN_5_4_253,CHAR_MISSING_COLUMN,b1c359c33,expected column b1c359
HN_5_4_253,CHAR_MISSING_COLUMN,b1c363c34,expected column b1c363
HN_5_4_253,CHAR_MISSING_COLUMN,b1c363c35,expected column b1c363
HN_5_4_253,CHAR_MISSING_COLUMN,b1c363c36,expected column b1c363
HN_5_4_253,CHAR_MISSING_COLUMN,b1c363c37,expected column b1c363
HN_5_4_253,CHAR_MISSING_COLUMN,b1c366c38,expected column b1c366
HN_5_4_253,CHAR_MISSING_COLUMN,b1c366c39,expected column b1c366
HN_5_4_253,CHAR_MISSING_COLUMN,b1c366c40,expected column b1c366
HN_5_4_253,CHAR_MISSING_COLUMN,b1c369c41,expected column b1c369
HN_5_4_253,CHAR_MISSING_COLUMN,b1c369c42,expected column b1c369
HN_5_4_253,CHAR_MISSING_COLUMN,b1c369c43,expected column b1c369
HN_5_4_253,CHAR_MISSING_COLUMN,b1c373c47,expected column b1c373
HN_5_4_253,CHAR_MISSING_COLUMN,b1c373c47,expected column b1c373
HN_5_4_253,CHAR_MISSING_COLUMN,b1c373c47,expected column b1c373
HN_5_4_253,CHAR_MISSING_COLUMN,b1c373c47,expected column b1c373
HN_5_4_253,CHAR_MISSING_COLUMN,b1c376c48,expected column b1c376
HN_5_4_253,CHAR_MISSING_COLUMN,b1c376c49,expected column b1c376
HN_5_4_253,CHAR_MISSING_COLUMN,b1c376c50,expected column b1c376
HN_5_4_253,CHAR_MISSING_COLUMN,b1c378c51,expected column b1c378
HN_5_4_253,CHAR_MISSING_COLUMN,b1c378c52,expected column b1c378
HN_5_4_253,CHAR_MISSING_COLUMN,b1c380c53,expected column b1c380
HN_5_4_253,CHAR_MISSING_COLUMN,b1c380c54,expected column b1c380
HN_5_4_253,CHAR_MISSING_COLUMN,b1c384c55,expected column b1c384
HN_5_4_253,CHAR_MISSING_COLUMN,b1c384c56,expected column b1c384
HN_5_4_253,CHAR_MISSING_COLUMN,b1c384c57,expected column b1c384
HN_5_4_253,CHAR_MISSING_COLUMN,b1c384c58,expected column b1c384
HN_5_4_253,CHAR_MISSING_COLUMN,b1c387c59,expected column b1c387
HN_5_4_253,CHAR_MISSING_COLUMN,b1c387c60,expected column b1c387
